"id","name","code","account_type","chart_template_id/id","reconcile"
"account_activa_account_10202008","AMORTIZACION ACUM. PROGRAMAS","10202008","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10203","INVERSIONES PERMANENTES","10203","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10203001","ACCIONES EN LA EMPRESA XX","10203001","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10204","CUENTAS POR COBRAR ACCIONISTAS","10204","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_10204001","CUENTASPORCOBRAR XXX","10204001","Activos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_2","PASIVO","2","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_201","PASIVOS CORRIENTES","201","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20101","CUENTAS Y EFECTOS POR PAGAR","20101","Por pagar","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20101001","CUENTAS POR PAGAR BANCARIOS","20101001","Por pagar","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20101004","CUENTAS POR PAGAR PROVEEDORES VARIOS","20101004","Por pagar","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20101005","CUENTAS POR PAGAR OTRAS","20101005","Por pagar","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20101006","CUENTAS POR PAGAR ACCIONISTA XXX","20101006","Por pagar","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20102","IMPUESTOS POR PAGAR","20102","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20102001","ISLR POR PAGAR","20102001","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20102002","IMPUESTOS MUNICIPALES POR PAGAR","20102002","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20102003","DEBITO FISCAL","20102003","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20103","RETENCIONES. IMPUESTOS POR PAGAR","20103","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20103001","RETENCION IVA POR PAGAR","20103001","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20103002","RETENCION DE ISLR","20103002","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20103003","I.V.A.","20103003","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20104","OBLIGACIONES LABORALES POR PAGAR","20104","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20104001","UTILIDADES A TRABAJADORES POR PAGAR","20104001","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20104002","VACACIONES TRABAJADORES POR PAGAR","20104002","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20104003","PRESTACIONES SOCIALES POR PAGAR","20104003","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20104004","SUELDO Y SALARIOS POR PAGAR","20104004","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20105","RETENCIONES Y APORTES PATRONALES POR PAGAR","20105","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20105001","RETENCION IVSS POR PAGAR","20105001","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20105002","RETENCION DE SPF POR PAGAR","20105002","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20105003","RETENCION F.A.O.V. POR PAGAR","20105003","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20105004","RETENCION INCES POR PAGAR","20105004","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20105005","APORTE IVSS POR PAGAR","20105005","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20105006","APORTE SPF POR PAGAR","20105006","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20105007","APORTE F.A.O.V.  PORPAGAR","20105007","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20105008","APORTE INCES POR PAGAR","20105008","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20105009","APORTE LOCTI POR PAGAR","20105009","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_202","PASIVOS NO CORRIENTES","202","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20201","PRESTAMOS BANCARIOS POR PAGAR","20201","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20201001","PRESTAMOS BANCO XXXX","20201001","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20202","PRESTAMO A ACCIONISTAS POR PAGAR","20202","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_20202001","PRESTAMO POR PAGAR","20202001","Pasivos Circulantes","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_3","PATRIMONIO","3","Capital","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_301","CAPITAL","301","Capital","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_30101","CAPITAL SOCIAL SUSCRITO Y PAGADO","30101","Capital","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_30101001","CAPITAL SOCIAL","30101001","Capital","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_302","RESULTADO","302","Capital","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_30201","UTILIDADES","30201","Capital","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_30201001","UTILIDADES ACUMULADAS","30201001","Capital","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_30201002","UTILIDAD DEL EJERCICIO","30201002","Ganancias del año actual","l10n_binaural.l10n_chart_template_binaural","True"
